,HomeTeam,AwayTeam,FTHG,FTAG,total_goal_count,total_goals_at_half_time,HTHG,HTAG,HC,AC,HY,AY,HR,AR,HS,AS,HST,AST,HF,AF,Date,PSH,PSD,PSA,B365H,B365D,B365A
19,Finn Harps,Shelbourne,1,0,1,0,0,0,4,3,3,0,2,0,6,3,3,0,14,11,2022-04-29,2.56,2.95,3.35,2.49,2.91,3.12
20,Dundalk,Bohemians,3,1,4,1,0,1,8,3,2,0,2,0,17,13,5,6,10,9,2022-05-13,2.59,3.49,2.82,2.43,3.39,2.76
21,Shamrock Rovers,Derry City,1,0,1,0,0,0,5,7,1,0,1,0,9,7,2,4,6,11,2022-05-13,2.0,3.36,4.34,1.98,3.26,3.93
22,Bohemians,Sligo Rovers,2,1,3,0,0,0,4,6,1,0,3,0,10,7,6,3,9,7,2022-05-20,1.94,3.56,4.28,1.94,3.46,3.79
23,Derry City,Dundalk,1,2,3,1,0,1,5,4,1,0,6,0,18,9,10,3,10,16,2022-05-20,1.58,4.42,5.8,1.55,4.09,5.59
24,Sligo Rovers,Derry City,2,1,3,2,1,1,7,3,2,0,1,0,18,12,11,7,-1,-1,2022-05-23,4.85,3.54,1.85,4.55,3.43,1.79
25,Finn Harps,Dundalk,0,1,1,0,0,0,7,3,0,0,0,0,6,16,0,4,14,10,2022-05-23,4.16,3.41,2.02,3.88,3.32,1.95
26,Derry City,Finn Harps,2,2,4,2,1,1,4,6,1,0,2,0,12,7,5,4,11,20,2022-05-27,1.42,4.85,8.29,1.4,4.57,7.41
27,Shamrock Rovers,Shelbourne,2,0,2,2,2,0,3,4,3,0,3,0,13,2,7,0,12,14,2022-05-27,1.56,3.75,8.18,1.54,3.67,6.84
28,Bohemians,Shelbourne,1,0,1,1,1,0,1,4,3,1,1,0,5,11,4,2,-1,-1,2022-06-17,2.11,3.25,4.06,2.07,3.14,3.7
29,Dundalk,Shamrock Rovers,1,0,1,0,0,0,5,3,3,0,1,1,9,11,3,2,11,11,2022-06-17,4.01,3.27,2.11,3.66,3.22,2.06
30,Sligo Rovers,Finn Harps,3,0,3,2,2,0,4,4,2,0,3,0,13,7,7,6,10,10,2022-06-18,2.05,3.34,4.08,2.01,3.27,3.75
31,Shelbourne,Dundalk,0,0,0,0,0,0,4,6,4,0,1,0,8,12,5,2,18,11,2022-06-24,3.21,3.12,2.52,3.19,3.0,2.36
32,Shamrock Rovers,Bohemians,1,0,1,0,0,0,8,8,4,0,2,0,11,8,5,4,10,15,2022-06-24,1.6,4.21,5.93,1.58,3.92,5.53
