timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1659898800,Aug 07 2022 - 7:00pm,complete,N/A,Royal Antwerp FC,OH Leuven,Bert Put,3,3.00,3.00,3.00,1.50,4,2,6,3,2,1,"38,40,71,82","27,55",9,7,2,0,1,0,1,1,1,0,19,9,5,5,14,4,8,10,56,44,2.04,1.14,1.50,0,50,0,0,0,0,0,50,100,7.00,2.00,1.57,4.20,5.25,1.20,1.57,2.75,4.75,1.75,2.00,Bosuilstadion (Deurne)
1660329900,Aug 12 2022 - 6:45pm,complete,N/A,KV Oostende,KAA Gent,Jonathan Lardot,4,3.00,1.00,1.50,2.00,1,3,4,3,1,2,"13","24,29,60",2,6,3,0,1,0,1,2,1,0,9,14,4,8,5,6,9,7,41,59,1.23,1.76,3.50,100,100,100,50,0,50,100,50,100,18.00,5.00,3.56,3.65,1.74,1.22,1.70,2.85,5.00,1.70,2.05,Diaz Arena (Oostende)
1660399200,Aug 13 2022 - 2:00pm,complete,N/A,KVC Westerlo,Standard Liège,Jasper Vergoote,4,3.00,0.00,3.00,0.00,4,2,6,1,1,0,"38,50,73,90'1","63,90",4,6,2,0,5,1,1,1,1,5,16,13,7,6,9,7,3,11,55,45,1.90,1.50,3.00,50,100,50,50,0,50,100,0,50,7.00,5.00,2.10,3.25,3.35,1.30,1.98,3.40,6.50,1.72,2.00,Het Kuipje (Westerlo)
1660407300,Aug 13 2022 - 4:15pm,complete,N/A,Cercle Brugge,KV Mechelen,Wesli De Cremer,4,3.00,0.00,2.00,0.50,0,0,0,0,0,0,"","",8,8,0,0,4,0,0,0,2,2,16,13,4,6,12,7,9,13,47,53,1.67,1.48,2.00,50,50,50,0,0,50,50,0,100,17.00,2.00,2.09,3.60,3.29,1.28,1.78,3.10,6.00,1.68,2.05,Jan Breydelstadion (Brugge)
1660407300,Aug 13 2022 - 4:15pm,complete,N/A,RFC Seraing,Sporting Charleroi,Bram Van Driessche,4,0.00,0.00,0.00,1.50,0,1,1,0,0,0,"","85",3,6,2,0,3,0,1,1,1,2,13,15,4,6,9,9,8,13,45,55,1.37,1.78,1.00,0,0,0,0,0,0,0,0,100,7.00,5.00,4.06,3.70,1.84,1.25,1.73,3.10,5.50,1.75,2.00,Stade du Pairay (Seraing)
1660416300,Aug 13 2022 - 6:45pm,complete,N/A,Union Saint-Gilloise,KV Kortrijk,Alexandre Boucaut,4,3.00,3.00,3.00,1.50,2,1,3,1,1,0,"9,58","63",5,1,0,0,3,0,0,0,3,0,18,7,10,4,8,3,22,11,58,42,2.37,0.88,1.00,0,0,0,0,0,0,0,0,100,12.00,6.00,1.45,4.65,6.44,1.22,1.72,2.85,5.00,1.90,1.80,Stade Joseph Mariën (Bruxelles (Brussels))
1660476600,Aug 14 2022 - 11:30am,complete,N/A,Sint-Truiden,RSC Anderlecht,Nicolas Laforge,4,1.00,0.00,0.50,1.50,0,3,3,2,0,2,"","43,45'5,74",6,5,4,0,3,0,1,3,1,2,13,13,8,8,5,5,13,11,54,46,1.80,1.54,1.50,50,50,0,0,0,0,50,0,100,1.00,6.00,3.50,3.40,1.91,1.28,1.80,3.10,5.75,1.75,2.00,Stadion Stayen (Sint-Truiden (St.-Trond))
1660485600,Aug 14 2022 - 2:00pm,complete,N/A,AS Eupen,Royal Antwerp FC,Jan Boterberg,4,3.00,3.00,1.50,3.00,0,1,1,0,0,0,"","78",6,3,4,0,0,0,3,1,0,0,18,13,6,7,12,6,12,9,36,64,1.88,1.80,2.50,50,100,50,0,0,100,100,0,0,7.00,5.00,3.45,3.60,1.90,1.21,1.62,2.55,4.50,1.62,2.20,Stadion am Kehrweg (Eupen)
1660494600,Aug 14 2022 - 4:30pm,complete,N/A,OH Leuven,Club Brugge,Lothar D'hondt,4,3.00,0.00,1.50,1.50,0,3,3,2,0,2,"","33,42,53",7,5,3,0,2,0,0,3,1,1,15,14,4,5,11,9,6,12,47,53,1.52,1.68,2.50,50,100,50,0,0,50,100,0,50,12.00,4.00,4.30,3.80,1.66,1.18,1.55,2.38,4.33,1.57,2.25,King Power at Den Dreef Stadion (Heverlee)
1660503600,Aug 14 2022 - 7:00pm,complete,N/A,Zulte-Waregem,KRC Genk,Lawrence Visser,4,3.00,0.00,1.50,1.50,1,4,5,4,1,3,"43","9,25,44,52",4,8,4,0,2,0,1,3,0,2,16,16,4,7,12,9,14,16,55,45,1.60,1.82,3.50,50,100,50,50,50,50,50,100,100,10.00,3.00,3.70,3.75,1.77,1.17,1.53,2.30,4.20,1.53,2.38,Elindus Arena (Waregem)
1660934700,Aug 19 2022 - 6:45pm,incomplete,N/A,AS Eupen,RFC Seraing,N/A,5,1.50,0.00,1.50,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.50,50,75,50,25,0,50,50,25,75,6.00,5.00,1.82,3.55,3.60,0.00,1.80,0.00,0.00,1.67,2.10,Stadion am Kehrweg (Eupen)
1661004000,Aug 20 2022 - 2:00pm,incomplete,N/A,KV Oostende,Sint-Truiden,N/A,5,1.50,1.00,1.50,1.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.25,75,75,50,25,0,50,75,0,75,10.00,4.50,3.01,3.15,2.15,1.35,2.10,3.75,7.50,1.85,1.85,Diaz Arena (Oostende)
1661012100,Aug 20 2022 - 4:15pm,incomplete,N/A,KRC Genk,Cercle Brugge,N/A,5,3.00,0.00,3.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,50,100,50,50,25,75,100,25,50,12.50,5.00,1.48,4.15,5.15,1.20,1.61,2.60,4.75,1.70,2.05,Cegeka Arena (Genk)
1661081400,Aug 21 2022 - 11:30am,incomplete,N/A,Club Brugge,KV Kortrijk,N/A,5,2.00,1.50,2.00,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.75,75,75,50,25,25,25,50,75,100,8.00,5.00,1.28,5.05,7.60,1.17,1.53,2.35,4.00,1.85,1.85,Jan Breydelstadion (Brugge)
1661090400,Aug 21 2022 - 2:00pm,incomplete,N/A,Zulte-Waregem,Sporting Charleroi,N/A,5,1.50,1.50,1.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.25,25,50,25,25,25,25,25,25,100,10.50,4.50,3.02,3.55,2.01,1.20,1.67,2.65,4.75,1.53,2.35,Elindus Arena (Waregem)
1661099400,Aug 21 2022 - 4:30pm,incomplete,N/A,Standard Liège,OH Leuven,N/A,5,2.00,1.50,2.00,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,50,100,50,50,25,50,75,75,75,9.00,3.50,2.00,3.50,3.10,1.22,1.84,2.80,5.00,1.61,2.20,Stade Maurice Dufrasne (Liège (Luik))
1661108400,Aug 21 2022 - 7:00pm,incomplete,N/A,KV Mechelen,KVC Westerlo,N/A,5,1.50,0.00,1.50,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.50,25,100,50,0,0,50,100,25,50,11.00,4.00,2.45,3.40,2.45,1.28,1.75,3.10,6.00,1.68,2.05,AFAS-stadion Achter de Kazerne (Mechelen (Malines))
1661539500,Aug 26 2022 - 6:45pm,incomplete,N/A,Sporting Charleroi,Club Brugge,N/A,6,1.50,1.50,1.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,75,100,100,50,0,50,100,50,75,11.50,4.00,4.22,4.00,1.78,0.00,1.61,0.00,0.00,0.00,0.00,Stade du Pays de Charleroi (Charleroi)
1661608800,Aug 27 2022 - 2:00pm,incomplete,N/A,RFC Seraing,KRC Genk,N/A,6,0.00,1.50,0.00,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,50,50,50,50,50,50,50,25,100,8.50,5.00,5.50,4.25,1.55,0.00,1.60,0.00,0.00,0.00,0.00,Stade du Pairay (Seraing)
1661616900,Aug 27 2022 - 4:15pm,incomplete,N/A,Cercle Brugge,Zulte-Waregem,N/A,6,2.00,0.50,2.00,0.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.00,25,25,0,0,0,0,0,25,75,13.00,3.00,2.30,3.40,3.00,0.00,0.00,0.00,0.00,0.00,0.00,Jan Breydelstadion (Brugge)
1661616900,Aug 27 2022 - 4:15pm,incomplete,N/A,OH Leuven,KV Oostende,N/A,6,1.50,1.50,1.50,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.75,25,100,50,25,0,25,100,25,100,11.00,5.00,2.43,3.44,2.89,0.00,1.73,0.00,0.00,0.00,0.00,King Power at Den Dreef Stadion (Heverlee)
1661625900,Aug 27 2022 - 6:45pm,incomplete,N/A,Sint-Truiden,KV Mechelen,N/A,6,0.50,0.50,0.50,0.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,50,75,50,0,0,50,75,0,75,11.50,5.50,2.43,3.44,2.89,0.00,1.80,0.00,0.00,0.00,0.00,Stadion Stayen (Sint-Truiden (St.-Trond))
1661686200,Aug 28 2022 - 11:30am,incomplete,N/A,KAA Gent,Royal Antwerp FC,N/A,6,2.00,3.00,2.00,3.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,50,75,25,0,0,50,75,0,50,9.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GHELAMCO-arena (Gent)
1661695200,Aug 28 2022 - 2:00pm,incomplete,N/A,KV Kortrijk,Standard Liège,N/A,6,0.50,0.00,0.50,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,50,75,50,50,25,25,50,50,50,10.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Guldensporenstadion (Kortrijk)
1661704200,Aug 28 2022 - 4:30pm,incomplete,N/A,Union Saint-Gilloise,RSC Anderlecht,N/A,6,3.00,1.50,3.00,1.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.00,25,50,50,0,0,25,50,25,100,9.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stade Joseph Mariën (Bruxelles (Brussels))
1661713200,Aug 28 2022 - 7:00pm,incomplete,N/A,KVC Westerlo,AS Eupen,N/A,6,3.00,0.00,3.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,4.50,75,100,75,75,50,25,100,75,100,5.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Het Kuipje (Westerlo)
1661970600,Aug 31 2022 - 6:30pm,incomplete,N/A,Royal Antwerp FC,Union Saint-Gilloise,N/A,5,3.00,0.50,3.00,0.50,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,50,75,50,25,25,25,75,50,100,11.00,6.50,1.87,3.45,3.27,0.00,1.73,0.00,0.00,0.00,0.00,Bosuilstadion (Deurne)
1662057000,Sep 01 2022 - 6:30pm,incomplete,N/A,RSC Anderlecht,KAA Gent,N/A,5,3.00,2.00,3.00,2.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.50,75,100,75,75,0,50,100,25,100,13.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Lotto Park (Bruxelles (Brussel))
1662144300,Sep 02 2022 - 6:45pm,incomplete,N/A,Club Brugge,Cercle Brugge,N/A,7,2.00,0.00,2.00,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.75,50,100,25,25,25,50,75,50,75,10.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Jan Breydelstadion (Brugge)
