timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661702400,Aug 28 2022 - 4:00pm,complete,N/A,Panaitolikos,Aris,Anastasios Papapetrou,2,0.00,0.00,1.00,1.00,3,1,4,2,1,1,"15,63,76","20",1,4,1,1,1,0,1,1,1,0,9,15,4,5,5,10,13,13,34,66,1.01,1.82,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.10,1.90,1.42,2.25,4.33,8.30,2.05,1.74,Stadio Panetolikou (Agrinio)
1661709600,Aug 28 2022 - 6:00pm,complete,N/A,OFI,Panathinaikos,Vasilis Fotias,2,0.00,0.00,0.25,3.00,0,2,2,2,0,2,"","16,33",1,3,2,0,1,0,0,2,0,1,6,9,2,4,4,5,14,14,46,54,0.80,1.02,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.75,3.25,1.91,1.38,2.15,3.90,7.50,1.97,1.80,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1661712300,Aug 28 2022 - 6:45pm,complete,N/A,PAOK,Atromitos,Thanasis Tzilos,2,3.00,0.00,2.25,1.00,2,1,3,1,1,0,"12,90'6","90'2",8,3,1,0,3,1,0,1,2,2,18,7,8,4,10,3,12,15,57,43,1.99,0.87,0.50,0,0,0,0,0,0,50,0,0,7.00,0.00,1.40,4.33,6.75,1.28,1.90,3.20,5.90,2.09,1.71,Stadio Toumbas (Thessaloníki)
1661788800,Aug 29 2022 - 4:00pm,complete,N/A,Asteras Tripolis,Olympiakos Piraeus,Dimitrios Karantonis,2,0.00,0.00,1.33,1.33,0,0,0,0,0,0,"","",0,10,4,0,1,0,1,3,0,1,5,17,3,2,2,15,19,12,26,74,0.66,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.50,1.67,1.36,2.10,3.75,7.50,1.95,1.82,Stadio Theodoros Kolokotronis (Tripoli)
1662216300,Sep 03 2022 - 2:45pm,complete,N/A,Lamia,Asteras Tripolis,N/A,3,0.00,1.00,1.33,0.75,0,0,0,0,0,0,"","",5,3,0,0,1,0,0,0,0,1,14,9,3,3,11,6,10,12,48,52,0.00,0.00,4.50,50,100,100,50,50,50,100,100,100,3.00,4.00,2.94,3.15,2.38,1.44,2.40,4.33,9.00,2.00,1.71,Dimotiko Athlitiko Kentro Lamias (Lamia)
1662220800,Sep 03 2022 - 4:00pm,complete,N/A,Olympiakos Piraeus,Ionikos,Aristotelis Diamantopoulos,3,3.00,0.00,2.50,0.00,3,1,4,2,2,0,"17,45,90'5","49",4,4,0,0,1,0,0,0,0,1,13,9,4,3,9,6,12,16,48,52,1.46,0.92,1.50,0,50,0,0,0,0,50,50,50,7.00,5.00,1.22,5.10,10.75,1.20,1.63,2.50,4.33,2.38,1.53,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1662226200,Sep 03 2022 - 5:30pm,complete,N/A,Panathinaikos,Levadiakos,Petros Tsagarakis,3,3.00,0.50,3.00,0.20,1,0,1,1,1,0,"3","",4,5,1,0,5,1,0,1,3,3,8,4,3,2,5,2,12,17,61,39,1.04,0.65,1.25,0,25,25,0,0,25,75,0,25,8.50,3.50,1.15,6.30,19.25,0.00,1.82,0.00,0.00,0.00,0.00,Stadio Apóstolos Nikolaidis (Athína (Athens))
1662305400,Sep 04 2022 - 3:30pm,complete,N/A,Atromitos,Panaitolikos,Anastasios Sidiropoulos,3,3.00,0.00,2.00,1.75,1,1,2,1,0,1,"50","33",9,2,2,0,4,0,1,1,3,1,14,6,4,2,10,4,11,15,58,42,1.48,0.81,2.50,50,50,50,50,0,50,100,0,50,6.00,4.00,1.75,3.20,4.25,1.36,2.10,3.75,7.50,1.95,1.80,Stadio Peristeriou (Athína (Athens))
1662307200,Sep 04 2022 - 4:00pm,complete,N/A,Volos NFC,OFI,Anastasios Papapetrou,3,1.00,0.00,1.75,1.00,0,1,1,1,0,1,"","5",5,2,2,0,4,1,0,2,0,5,13,6,2,2,11,4,16,14,63,37,1.35,0.64,5.00,100,100,100,100,50,100,100,50,100,8.00,8.00,2.00,3.20,3.25,1.30,1.87,3.30,6.50,1.75,2.00,Panthessaliko Stadio (Volos)
1662316200,Sep 04 2022 - 6:30pm,complete,N/A,AEK Athens,PAS Giannina,Evangelos Manouhos,3,0.00,0.00,2.00,0.00,2,0,2,1,1,0,"39,87","",5,3,2,0,1,0,1,1,1,0,12,9,6,2,6,7,16,15,62,38,1.64,0.87,1.50,0,50,0,0,0,0,50,50,50,10.00,3.00,1.30,4.40,9.00,1.23,1.75,2.85,5.05,2.38,1.53,Stadio Georgios Kamaras (Athína (Athens))
1662316200,Sep 04 2022 - 6:30pm,complete,N/A,Aris,PAOK,Luis Miguel Branco Godinho,3,3.00,0.00,1.75,1.00,0,0,0,0,0,0,"","",9,5,3,1,3,1,1,3,1,3,14,9,3,0,11,9,12,25,54,46,1.37,0.80,1.50,0,50,50,0,0,50,50,0,50,6.00,1.00,2.55,3.20,2.80,1.38,2.20,3.80,7.75,1.95,1.80,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1662823800,Sep 10 2022 - 3:30pm,complete,N/A,OFI,Panaitolikos,Ioannis Papadopoulos,4,0.00,0.50,0.25,1.75,1,2,3,2,1,1,"42","14,76",3,2,3,0,1,0,0,3,0,1,11,8,2,5,9,3,15,10,71,29,1.13,0.99,1.75,25,75,0,0,0,50,100,0,25,4.00,5.00,2.05,3.30,3.45,1.40,1.90,4.20,8.50,1.95,1.80,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1662826500,Sep 10 2022 - 4:15pm,complete,N/A,PAS Giannina,Levadiakos,Andreas Gamaris,4,1.00,0.33,1.33,0.20,2,1,3,2,1,1,"2,73","45'1",4,1,1,0,3,0,0,1,1,2,17,8,9,4,8,4,12,14,34,66,2.00,1.15,1.67,50,67,17,0,0,17,84,0,67,9.33,5.67,2.12,3.20,3.35,1.47,2.35,4.75,9.50,2.10,1.67,Stadio Zosimades (Ioannina)
1662834600,Sep 10 2022 - 6:30pm,complete,N/A,Ionikos,Atromitos,Georgios Tzovaras,4,1.00,0.00,0.67,1.00,1,4,5,1,1,0,"38","53,55,61,90'1",3,0,3,0,2,0,1,2,1,1,15,12,2,11,13,1,15,7,57,43,1.45,1.71,1.50,50,50,50,0,0,0,50,50,50,9.00,7.00,2.66,3.13,2.75,1.44,2.40,4.50,9.50,2.00,1.75,Dimotiko Gipedo Neapolis Nikaias (Athína (Athens))
1662910200,Sep 11 2022 - 3:30pm,complete,N/A,Olympiakos Piraeus,Volos NFC,Vasilis Fotias,4,3.00,3.00,2.50,2.33,1,1,2,1,0,1,"77","29",9,2,4,0,1,0,1,3,0,1,20,6,6,2,14,4,12,7,66,34,2.20,0.64,2.00,25,50,25,25,0,25,75,50,50,6.00,5.00,1.23,5.95,13.00,1.22,1.77,2.73,4.80,2.25,1.57,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1662921000,Sep 11 2022 - 6:30pm,complete,N/A,Asteras Tripolis,Aris,Konstantinos Tsetsilas,4,1.00,0.00,1.33,1.00,0,2,2,1,0,1,"","20,60",10,1,1,0,2,1,0,1,1,2,20,7,3,5,17,2,0,1,53,47,1.81,0.90,2.00,50,50,50,50,0,50,50,50,50,4.00,5.00,2.71,3.08,2.72,1.50,2.41,4.20,9.00,2.00,1.72,Stadio Theodoros Kolokotronis (Tripoli)
1662921000,Sep 11 2022 - 6:30pm,complete,N/A,Panathinaikos,AEK Athens,Anastasios Sidiropoulos,4,3.00,3.00,3.00,2.25,2,1,3,3,2,1,"43,45'7","36",5,2,3,0,3,0,2,1,3,0,11,9,3,4,8,5,0,1,54,46,1.10,1.09,2.00,0,50,50,0,0,0,100,50,50,6.00,2.00,2.32,3.13,3.26,1.47,2.36,4.64,8.90,2.05,1.70,Stadio Apóstolos Nikolaidis (Athína (Athens))
1662998400,Sep 12 2022 - 4:00pm,complete,N/A,PAOK,Lamia,Petros Tsagarakis,4,3.00,1.00,2.25,0.75,1,0,1,1,1,0,"43","",6,3,2,0,2,1,1,1,1,2,14,7,4,5,10,2,14,10,62,38,1.59,1.05,2.00,75,75,25,0,0,0,100,25,75,15.50,3.50,1.27,5.35,10.45,1.30,1.85,3.50,6.50,2.63,1.44,Stadio Toumbas (Thessaloníki)
1663434000,Sep 17 2022 - 5:00pm,complete,N/A,Atromitos,Lamia,Christos Vergetis,5,2.00,0.50,2.00,0.75,0,0,0,0,0,0,"","",6,1,2,0,3,0,0,2,0,3,12,9,4,4,8,5,7,19,56,44,1.24,1.10,2.25,75,75,25,25,0,25,100,0,75,11.00,5.50,1.90,3.35,4.10,1.43,2.30,4.40,8.40,2.00,1.70,Stadio Peristeriou (Athína (Athens))
1663434000,Sep 17 2022 - 5:00pm,complete,N/A,Panaitolikos,AEK Athens,Aristotelis Diamantopoulos,5,3.00,1.50,1.00,2.25,0,2,2,0,0,0,"","48,75",0,7,2,0,3,0,2,0,2,1,6,13,0,6,6,7,13,19,33,67,0.54,1.51,3.50,75,100,100,50,0,75,100,75,75,2.50,4.00,5.20,3.70,1.64,1.36,2.14,4.00,8.00,2.00,1.70,Stadio Panetolikou (Agrinio)
1663439400,Sep 17 2022 - 6:30pm,complete,N/A,Panathinaikos,PAS Giannina,Aristomenis Koutsiaftis,5,3.00,0.00,3.00,0.00,3,0,3,1,1,0,"45,54,70","",7,3,0,0,3,0,0,0,2,1,8,6,4,3,4,3,14,13,67,33,0.93,0.70,1.84,17,67,17,0,0,17,75,25,50,7.50,2.17,1.27,5.35,12.00,1.30,1.99,3.60,7.00,2.45,1.47,Stadio Apóstolos Nikolaidis (Athína (Athens))
1663513200,Sep 18 2022 - 3:00pm,complete,N/A,Levadiakos,Asteras Tripolis,Konstantinos Perrakis,5,0.00,1.00,1.00,0.75,1,1,2,0,0,0,"48","54",0,3,3,0,1,0,1,2,0,1,11,13,5,6,6,7,15,16,42,58,1.20,1.54,1.50,25,25,25,25,25,25,25,25,25,3.00,2.00,2.88,2.95,2.50,1.43,2.55,4.20,8.75,1.98,1.71,Stadio Levadias (Levadia)
1663516800,Sep 18 2022 - 4:00pm,complete,N/A,OFI,PAOK,Anastasios Sidiropoulos,5,0.00,1.00,0.25,1.00,1,1,2,1,0,1,"90'13","8",2,13,2,0,3,0,1,1,1,2,12,18,2,5,10,13,13,15,47,53,1.24,1.77,1.25,25,50,25,0,0,50,50,0,25,7.00,7.50,4.30,3.40,1.85,1.40,2.20,4.20,8.50,1.98,1.71,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1663520400,Sep 18 2022 - 5:00pm,complete,N/A,Aris,Olympiakos Piraeus,Tamás Bognár,5,2.00,1.00,1.75,1.33,2,1,3,1,0,1,"76,79","15",7,3,3,0,0,0,1,2,0,0,15,8,4,2,11,6,8,17,53,47,1.58,0.89,0.75,0,25,25,0,0,25,25,0,25,17.50,3.50,3.75,3.15,2.00,1.44,2.23,4.50,9.50,2.05,1.68,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1663524000,Sep 18 2022 - 6:00pm,complete,N/A,Volos NFC,Ionikos,Spiros Zabalas,5,0.50,0.00,1.75,0.00,2,0,2,1,1,0,"14,54","",2,3,2,0,3,0,1,1,0,3,11,12,4,7,7,5,17,18,58,42,1.15,1.48,3.00,50,50,50,50,25,50,100,50,50,6.50,6.00,1.97,3.20,3.80,1.34,2.07,3.62,6.80,1.91,1.85,Panthessaliko Stadio (Volos)
1664641800,Oct 01 2022 - 4:30pm,complete,N/A,Lamia,Levadiakos,Efstathios Gortsilas,6,0.50,0.25,1.33,0.20,1,0,1,0,0,0,"61","",12,3,4,0,3,0,1,3,2,1,18,9,5,4,13,5,7,7,57,43,1.82,1.04,1.63,13,50,50,0,0,25,63,25,50,5.25,4.00,2.16,3.17,3.42,1.50,2.45,5.00,10.00,2.05,1.70,Dimotiko Athlitiko Kentro Lamias (Lamia)
1664712000,Oct 02 2022 - 12:00pm,complete,N/A,Asteras Tripolis,OFI,Anastasios Papapetrou,6,0.50,1.50,1.33,1.00,2,0,2,2,2,0,"19,44","",3,3,1,0,1,0,0,1,1,0,10,12,5,0,5,12,7,15,42,58,1.17,1.18,1.75,25,50,25,25,0,25,75,0,50,8.50,7.00,1.95,3.25,3.80,1.41,2.23,4.10,8.50,2.05,1.66,Stadio Theodoros Kolokotronis (Tripoli)
1664715600,Oct 02 2022 - 1:00pm,complete,N/A,Olympiakos Piraeus,Atromitos,Georgios Tzovaras,6,2.33,1.50,2.50,1.00,2,0,2,1,1,0,"45'2,68","",3,4,1,0,4,0,0,1,1,3,15,7,4,0,11,7,20,14,50,50,1.52,0.59,3.34,84,100,67,42,25,17,84,84,100,7.83,4.33,1.30,4.50,10.00,1.25,1.87,3.20,6.00,2.25,1.57,Stadio Georgios Karaiskáki (Pireás (Piraeus))
1664728200,Oct 02 2022 - 4:30pm,complete,N/A,Volos NFC,Aris,Christos Vergetis,6,1.33,1.50,1.75,1.00,2,0,2,2,2,0,"26,30","",4,8,5,1,3,0,4,2,2,1,10,20,5,4,5,16,19,15,34,66,1.15,1.91,3.00,42,84,42,42,17,42,100,42,84,5.83,5.17,3.80,3.35,1.90,1.40,2.07,4.04,7.90,2.00,1.75,Panthessaliko Stadio (Volos)
1664735400,Oct 02 2022 - 6:30pm,complete,N/A,PAOK,Panathinaikos,Julian Weinberger,6,3.00,3.00,2.25,3.00,1,2,3,1,1,0,"18","51,73",4,4,3,0,2,0,1,2,1,1,14,9,5,6,9,3,14,16,58,42,1.45,1.18,1.84,17,67,17,0,0,50,100,17,17,10.00,2.00,2.38,3.10,2.95,1.47,2.25,4.74,9.20,2.10,1.67,Stadio Toumbas (Thessaloníki)
1664809200,Oct 03 2022 - 3:00pm,complete,N/A,PAS Giannina,Panaitolikos,Dimitris Maloutas,6,2.00,1.33,1.33,1.75,1,4,5,3,1,2,"34","7,25,71,87",6,2,3,0,3,0,1,2,2,1,20,13,4,6,16,7,19,17,66,34,1.99,1.33,2.25,84,84,42,0,0,42,100,0,84,7.67,3.83,2.15,2.95,3.50,1.45,2.43,4.75,9.50,1.95,1.80,Stadio Zosimades (Ioannina)
1664816400,Oct 03 2022 - 5:00pm,complete,N/A,AEK Athens,Ionikos,Vasilis Fotias,6,1.50,0.00,2.00,0.00,4,1,5,2,2,0,"6,26,62,65","90'3",11,0,0,0,1,0,0,0,1,0,29,7,10,2,19,5,12,14,65,35,2.95,0.73,1.92,17,59,17,17,0,17,100,17,59,9.17,5.50,1.14,6.75,16.00,1.19,1.58,2.56,4.40,2.38,1.53,OPAP Arena (Athína (Athens))
1665237600,Oct 08 2022 - 2:00pm,complete,N/A,Panaitolikos,Volos NFC,Konstantinos Katoikos,7,1.50,2.00,1.00,2.33,2,3,5,4,2,2,"4,16","27,35,78",2,8,1,1,2,0,1,1,0,2,7,15,5,7,2,8,13,13,31,69,0.95,1.83,2.25,50,75,25,25,0,25,75,50,75,2.00,5.00,2.12,3.25,3.33,1.42,2.41,4.33,8.50,1.95,1.80,Stadio Panetolikou (Agrinio)
1665246600,Oct 08 2022 - 4:30pm,complete,N/A,Ionikos,Lamia,Andreas Gamaris,7,0.50,0.67,0.67,0.75,1,1,2,1,0,1,"47","8",7,2,4,0,4,0,1,3,1,3,18,7,10,4,8,3,10,18,60,40,2.25,0.93,1.75,42,42,25,25,25,0,59,25,42,8.50,6.33,2.07,3.15,3.35,1.44,2.45,4.50,9.00,1.95,1.80,Dimotiko Gipedo Neapolis Nikaias (Athína (Athens))
1665320400,Oct 09 2022 - 1:00pm,complete,N/A,OFI,Olympiakos Piraeus,Aristotelis Diamantopoulos,7,0.33,0.50,0.25,1.33,1,2,3,1,1,0,"40","58,81",3,3,3,0,1,0,1,2,1,0,10,15,5,5,5,10,15,10,39,61,1.12,1.65,1.92,59,75,42,0,0,34,75,25,59,8.50,2.83,7.10,4.34,1.46,1.28,1.93,3.30,6.50,2.10,1.67,Stadio Thódoros Vardinoyánnis (Iraklio (Heraklion))
1665322200,Oct 09 2022 - 1:30pm,complete,N/A,Levadiakos,PAOK,Evangelos Manouhos,7,1.00,1.00,1.00,1.00,1,1,2,0,0,0,"90'3","73",3,9,2,0,1,1,1,1,1,1,11,13,2,2,9,11,1,2,32,68,0.95,1.42,1.50,75,75,0,0,0,0,25,50,75,9.00,7.00,6.25,3.96,1.55,1.36,2.00,4.00,8.00,2.10,1.67,Stadio Levadias (Levadia)
1665333000,Oct 09 2022 - 4:30pm,complete,N/A,Panathinaikos,Asteras Tripolis,Ioannis Papadopoulos,7,3.00,1.00,3.00,0.75,1,0,1,0,0,0,"80","",4,3,1,0,4,1,0,1,1,4,17,6,7,4,10,2,14,16,64,36,2.02,0.77,2.34,46,59,42,17,17,29,67,46,46,8.50,2.92,1.38,4.10,8.00,1.36,2.12,4.00,8.00,2.45,1.53,Stadio Apóstolos Nikolaidis (Athína (Athens))
1665339300,Oct 09 2022 - 6:15pm,complete,N/A,Aris,AEK Athens,Gustavo Fernandes Correia,7,2.33,2.00,1.75,2.25,0,2,2,1,0,1,"","28,50",8,3,1,0,3,0,0,1,1,2,12,20,0,4,12,16,19,24,51,49,1.02,1.83,2.34,33,84,67,0,0,33,67,50,67,10.66,5.00,2.70,3.00,2.63,1.44,2.33,4.50,9.00,1.95,1.80,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1665414000,Oct 10 2022 - 3:00pm,complete,N/A,Atromitos,PAS Giannina,N/A,7,1.67,0.00,2.00,0.00,2,1,3,0,0,0,"75,86","63",6,4,4,0,1,0,0,4,1,0,13,8,5,2,8,6,13,10,63,37,1.66,0.89,2.17,34,84,33,17,0,17,67,34,84,8.34,3.33,1.85,3.09,3.99,1.47,2.50,4.75,10.00,2.20,1.62,Stadio Peristeriou (Athína (Athens))
1665842400,Oct 15 2022 - 2:00pm,incomplete,N/A,Volos NFC,Levadiakos,N/A,8,1.75,0.20,1.75,0.20,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.18,23,58,33,13,13,45,80,13,55,6.30,7.15,1.69,3.45,5.40,0.00,2.15,0.00,0.00,0.00,0.00,Dimotiko Stadio Neapolis Volou (Volos)
1665855000,Oct 15 2022 - 5:30pm,incomplete,N/A,Aris,Ionikos,N/A,8,1.75,0.00,1.75,0.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.50,38,75,50,25,13,38,88,38,75,9.50,4.75,1.34,4.80,8.60,0.00,2.05,0.00,0.00,0.00,0.00,Stadio Harilaou Kleánthis Vikelídis (Thessaloníki)
1665925200,Oct 16 2022 - 1:00pm,incomplete,N/A,AEK Athens,Atromitos,N/A,8,2.00,1.00,2.00,1.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,3.00,50,84,50,33,33,17,100,50,84,10.33,5.00,1.33,4.65,8.90,0.00,1.67,0.00,0.00,0.00,0.00,Olympiako Stadio Spyros Louis (Athína (Athens))
1665932400,Oct 16 2022 - 3:00pm,incomplete,N/A,PAS Giannina,OFI,N/A,8,1.33,1.00,1.33,1.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.83,67,84,50,33,17,67,100,17,67,8.66,5.33,2.20,3.25,3.15,0.00,2.25,0.00,0.00,0.00,0.00,Stadio Zosimades (Ioannina)
1665937800,Oct 16 2022 - 4:30pm,incomplete,N/A,Lamia,Panathinaikos,N/A,8,1.33,3.00,1.33,3.00,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,1.92,25,67,42,0,0,25,67,42,59,9.17,3.17,5.30,3.45,1.66,0.00,2.15,0.00,0.00,0.00,0.00,Dimotiko Athlitiko Kentro Lamias (Lamia)
1665941400,Oct 16 2022 - 5:30pm,incomplete,N/A,Asteras Tripolis,Panaitolikos,N/A,8,1.33,1.75,1.33,1.75,0,0,0,0,0,0,"","",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,2.04,38,71,25,13,13,42,84,13,54,6.83,4.50,1.92,3.35,3.85,0.00,2.30,0.00,0.00,0.00,0.00,Stadio Theodoros Kolokotronis (Tripoli)
